user_id,signup_date,acquisition_channel,subscription_plan
USR_0001,2026-04-30,Paid_Social,Pro
USR_0002,2026-01-01,Creator_Referral,Free
USR_0003,2026-05-24,Search_Ads,Pro
USR_0004,2026-04-06,Paid_Social,Free
USR_0005,2025-05-30,Organic,Free
USR_0006,2026-06-24,Search_Ads,Free
USR_0007,2026-04-26,Creator_Referral,Free
USR_0008,2026-05-03,Organic,Free
USR_0009,2025-07-02,Organic,Free
USR_0010,2026-01-06,Paid_Social,Free
USR_0011,2025-12-01,Organic,Free
USR_0012,2026-06-12,Organic,Free
USR_0013,2026-03-19,Organic,Creator_Tier
USR_0014,2026-05-14,Creator_Referral,Free
USR_0015,2026-01-03,Creator_Referral,Free
USR_0016,2025-09-14,Creator_Referral,Free
USR_0017,2026-02-16,Organic,Free
USR_0018,2025-04-25,Organic,Free
USR_0019,2026-05-15,Paid_Social,Free
USR_0020,2026-03-15,Creator_Referral,Pro
USR_0021,2026-04-25,Paid_Social,Free
USR_0022,2025-11-24,Organic,Free
USR_0023,2026-06-23,Organic,Free
USR_0024,2026-06-02,Organic,Creator_Tier
USR_0025,2026-05-01,Creator_Referral,Pro
USR_0026,2025-08-23,Creator_Referral,Creator_Tier
USR_0027,2026-01-13,Paid_Social,Pro
USR_0028,2025-03-29,Creator_Referral,Pro
USR_0029,2025-07-24,Creator_Referral,Free
USR_0030,2026-04-01,Creator_Referral,Creator_Tier
USR_0031,2026-04-21,Organic,Free
USR_0032,2026-06-22,Creator_Referral,Free
USR_0033,2025-11-09,Organic,Free
USR_0034,2025-12-01,Creator_Referral,Free
USR_0035,2026-01-14,Organic,Free
USR_0036,2025-08-19,Paid_Social,Free
USR_0037,2025-07-03,Search_Ads,Free
USR_0038,2026-01-17,Organic,Pro
USR_0039,2025-09-14,Paid_Social,Free
USR_0040,2026-03-28,Paid_Social,Pro
USR_0041,2025-12-31,Organic,Free
USR_0042,2026-05-17,Paid_Social,Pro
USR_0043,2026-04-07,Paid_Social,Free
USR_0044,2025-11-02,Search_Ads,Creator_Tier
USR_0045,2026-05-17,Search_Ads,Free
USR_0046,2026-05-09,Organic,Free
USR_0047,2025-12-09,Creator_Referral,Free
USR_0048,2025-10-20,Creator_Referral,Free
USR_0049,2026-04-01,Organic,Free
USR_0050,2025-07-12,Organic,Pro
USR_0051,2025-08-27,Search_Ads,Creator_Tier
USR_0052,2025-01-20,Organic,Pro
USR_0053,2026-05-03,Creator_Referral,Free
USR_0054,2026-03-26,Paid_Social,Free
USR_0055,2026-04-08,Organic,Pro
USR_0056,2026-05-02,Creator_Referral,Pro
USR_0057,2026-01-10,Search_Ads,Free
USR_0058,2026-02-21,Creator_Referral,Creator_Tier
USR_0059,2025-07-12,Organic,Free
USR_0060,2025-06-19,Organic,Pro
USR_0061,2026-03-28,Search_Ads,Creator_Tier
USR_0062,2026-01-15,Organic,Pro
USR_0063,2026-02-20,Creator_Referral,Free
USR_0064,2026-04-27,Organic,Free
USR_0065,2026-03-16,Creator_Referral,Free
USR_0066,2026-02-16,Search_Ads,Pro
USR_0067,2026-02-18,Creator_Referral,Free
USR_0068,2025-10-29,Search_Ads,Pro
USR_0069,2025-03-08,Organic,Creator_Tier
USR_0070,2025-12-31,Creator_Referral,Free
USR_0071,2025-09-06,Search_Ads,Free
USR_0072,2025-12-19,Creator_Referral,Free
USR_0073,2026-05-23,Organic,Free
USR_0074,2025-09-18,Search_Ads,Free
USR_0075,2025-04-18,Creator_Referral,Free
USR_0076,2025-10-16,Creator_Referral,Free
USR_0077,2025-10-23,Search_Ads,Free
USR_0078,2026-03-25,Organic,Free
USR_0079,2026-02-17,Organic,Free
USR_0080,2026-05-03,Organic,Free
USR_0081,2026-03-26,Creator_Referral,Free
USR_0082,2025-12-18,Organic,Free
USR_0083,2026-05-11,Paid_Social,Pro
USR_0084,2025-08-03,Organic,Free
USR_0085,2025-02-21,Paid_Social,Free
USR_0086,2025-05-26,Organic,Creator_Tier
USR_0087,2026-04-14,Creator_Referral,Free
USR_0088,2026-01-11,Organic,Free
USR_0089,2025-07-29,Paid_Social,Free
USR_0090,2026-01-27,Creator_Referral,Free
USR_0091,2025-07-22,Creator_Referral,Free
USR_0092,2026-04-06,Search_Ads,Pro
USR_0093,2026-01-04,Creator_Referral,Pro
USR_0094,2025-12-06,Organic,Free
USR_0095,2025-10-27,Search_Ads,Free
USR_0096,2026-03-15,Organic,Free
USR_0097,2025-11-27,Organic,Free
USR_0098,2025-05-23,Creator_Referral,Free
USR_0099,2025-06-23,Organic,Pro
USR_0100,2026-06-21,Organic,Creator_Tier
USR_0101,2026-06-07,Paid_Social,Free
USR_0102,2026-04-07,Organic,Pro
USR_0103,2025-10-07,Paid_Social,Free
USR_0104,2026-06-23,Search_Ads,Free
USR_0105,2026-05-01,Paid_Social,Creator_Tier
USR_0106,2026-04-12,Paid_Social,Free
USR_0107,2026-01-06,Paid_Social,Pro
USR_0108,2025-10-11,Search_Ads,Pro
USR_0109,2025-06-01,Organic,Creator_Tier
USR_0110,2026-06-05,Organic,Free
USR_0111,2026-01-08,Creator_Referral,Free
USR_0112,2025-08-28,Creator_Referral,Pro
USR_0113,2025-10-30,Organic,Pro
USR_0114,2026-02-25,Paid_Social,Free
USR_0115,2025-08-10,Organic,Pro
USR_0116,2026-05-23,Search_Ads,Free
USR_0117,2026-04-25,Organic,Free
USR_0118,2026-04-13,Organic,Pro
USR_0119,2025-12-29,Organic,Free
USR_0120,2026-03-14,Organic,Free
USR_0121,2026-02-27,Organic,Creator_Tier
USR_0122,2026-03-21,Organic,Pro
USR_0123,2025-05-20,Organic,Pro
USR_0124,2025-12-22,Organic,Free
USR_0125,2025-03-25,Creator_Referral,Creator_Tier
USR_0126,2026-01-24,Creator_Referral,Free
USR_0127,2025-11-11,Organic,Free
USR_0128,2025-07-16,Organic,Free
USR_0129,2025-06-08,Organic,Pro
USR_0130,2026-02-28,Organic,Creator_Tier
USR_0131,2025-08-05,Organic,Pro
USR_0132,2026-06-11,Paid_Social,Free
USR_0133,2026-02-26,Search_Ads,Free
USR_0134,2025-11-20,Search_Ads,Free
USR_0135,2026-03-01,Creator_Referral,Free
USR_0136,2025-02-21,Creator_Referral,Free
USR_0137,2026-06-20,Organic,Free
USR_0138,2026-01-19,Paid_Social,Pro
USR_0139,2026-05-02,Paid_Social,Pro
USR_0140,2025-05-18,Paid_Social,Pro
USR_0141,2026-01-21,Search_Ads,Free
USR_0142,2026-01-23,Creator_Referral,Free
USR_0143,2026-06-14,Paid_Social,Free
USR_0144,2026-02-22,Paid_Social,Free
USR_0145,2026-01-16,Organic,Free
USR_0146,2025-10-08,Search_Ads,Free
USR_0147,2025-11-12,Organic,Free
USR_0148,2026-02-03,Search_Ads,Pro
USR_0149,2026-01-01,Paid_Social,Free
USR_0150,2025-02-19,Organic,Free
USR_0151,2026-05-15,Paid_Social,Free
USR_0152,2026-06-03,Organic,Free
USR_0153,2025-07-12,Paid_Social,Free
USR_0154,2026-02-16,Paid_Social,Free
USR_0155,2025-06-14,Paid_Social,Free
USR_0156,2026-03-29,Search_Ads,Free
USR_0157,2025-10-16,Organic,Creator_Tier
USR_0158,2026-03-25,Organic,Free
USR_0159,2026-04-15,Creator_Referral,Free
USR_0160,2026-04-28,Organic,Free
USR_0161,2025-06-13,Creator_Referral,Free
USR_0162,2026-06-09,Organic,Free
USR_0163,2025-09-16,Creator_Referral,Pro
USR_0164,2025-03-19,Creator_Referral,Free
USR_0165,2026-02-16,Search_Ads,Free
USR_0166,2025-12-02,Organic,Free
USR_0167,2026-05-16,Search_Ads,Free
USR_0168,2026-05-10,Creator_Referral,Free
