video_id,creator_id,genre,video_duration_sec,ai_model_used,ai_generated_ratio,monetized
VID_0001,CREATOR_061,AI Animation,132,Sora 2,0.678,1
VID_0002,CREATOR_055,AI Shorts,117,Sora 2,0.922,0
VID_0003,CREATOR_009,AI Shorts,238,Kling 2.0,0.742,1
VID_0004,CREATOR_015,Sci-Fi,165,Seedance Pro,0.793,1
VID_0005,CREATOR_072,Drama,220,Flux,0.689,1
VID_0006,CREATOR_069,Sci-Fi,213,Sora 2,0.874,1
VID_0007,CREATOR_067,Drama,255,Sora 2,0.912,0
VID_0008,CREATOR_019,Horror,105,Kling 2.0,0.736,1
VID_0009,CREATOR_062,AI Animation,35,Kling 2.0,0.978,1
VID_0010,CREATOR_008,Drama,151,Flux,0.612,1
VID_0011,CREATOR_018,Sci-Fi,200,Sora 2,0.653,1
VID_0012,CREATOR_060,Horror,248,Flux,0.836,1
VID_0013,CREATOR_075,Documentaries,91,Flux,0.881,1
VID_0014,CREATOR_079,Sci-Fi,228,Flux,0.7,0
VID_0015,CREATOR_118,Drama,253,Seedance Pro,0.822,0
VID_0016,CREATOR_103,AI Shorts,246,Kling 2.0,0.727,1
VID_0017,CREATOR_046,AI Shorts,246,Flux,0.822,1
VID_0018,CREATOR_094,Drama,297,Flux,0.864,1
VID_0019,CREATOR_012,AI Shorts,204,Kling 2.0,0.989,0
VID_0020,CREATOR_103,AI Shorts,120,Kling 2.0,0.782,0
VID_0021,CREATOR_047,AI Animation,139,Kling 2.0,0.859,0
VID_0022,CREATOR_092,AI Animation,228,Kling 2.0,0.831,1
VID_0023,CREATOR_117,Horror,82,Sora 2,0.727,1
VID_0024,CREATOR_085,Sci-Fi,187,Kling 2.0,0.701,1
VID_0025,CREATOR_111,AI Shorts,178,Flux,0.995,0
VID_0026,CREATOR_002,Sci-Fi,205,Kling 2.0,0.683,1
VID_0027,CREATOR_021,Horror,135,Kling 2.0,0.916,1
VID_0028,CREATOR_076,AI Shorts,226,Sora 2,0.659,0
VID_0029,CREATOR_065,AI Animation,35,Kling 2.0,0.922,1
VID_0030,CREATOR_015,AI Animation,229,Seedance Pro,0.674,1
VID_0031,CREATOR_087,AI Animation,247,Sora 2,0.987,0
VID_0032,CREATOR_008,Documentaries,268,Kling 2.0,0.874,0
VID_0033,CREATOR_119,AI Shorts,278,Kling 2.0,0.636,1
