event_id,user_id,video_id,event_timestamp,watch_time_sec,completion_rate,recreated_by_user,liked_by_user,shared_by_user,ad_revenue_usd,creator_credit_earned
EVT_000001,USR_1663,VID_0133,2026-05-10 19:56:11,34,0.425,0,1,1,0.0,0.0
EVT_000002,USR_1987,VID_0037,2025-12-07 12:33:58,23,0.575,0,0,0,0.257,0.0
EVT_000003,USR_1631,VID_0532,2026-02-05 19:19:45,62,0.4627,0,0,0,0.0,0.0
EVT_000004,USR_1202,VID_0469,2026-02-28 19:53:26,16,0.7273,1,0,0,0.2137,1.47
EVT_000005,USR_0081,VID_0031,2026-03-27 02:29:22,191,0.7733,0,0,0,0.0,0.0
EVT_000006,USR_1924,VID_0150,2025-12-05 03:25:23,48,0.2743,0,0,0,0.6224,0.0
EVT_000007,USR_0487,VID_0290,2026-01-31 05:38:30,149,0.5138,0,1,1,1.3916,0.0
EVT_000008,USR_0215,VID_0313,2026-04-14 22:38:00,11,0.1048,0,0,1,0.1406,0.0
EVT_000009,USR_0074,VID_0227,2025-11-02 20:34:53,86,0.6719,1,0,0,0.0,2.1
EVT_000010,USR_0206,VID_0116,2025-09-28 01:10:20,96,0.5581,0,1,1,1.2021,0.0
EVT_000011,USR_0049,VID_0401,2026-04-10 22:14:50,11,0.0433,0,0,0,0.0,0.0
EVT_000012,USR_1894,VID_0441,2025-02-23 00:53:38,178,0.7639,0,1,1,0.0,0.0
EVT_000013,USR_1270,VID_0385,2026-02-04 18:25:58,67,0.3988,1,0,0,0.8186,3.0
EVT_000014,USR_0133,VID_0574,2026-03-04 12:34:35,60,0.6742,1,0,0,0.0,3.28
EVT_000015,USR_0141,VID_0237,2026-01-24 15:27:36,90,0.5488,0,0,0,0.0,0.0
EVT_000016,USR_1332,VID_0325,2026-01-31 17:38:44,30,0.8824,0,0,0,0.3871,0.0
EVT_000017,USR_1359,VID_0191,2026-04-19 20:53:05,23,0.3966,0,0,0,0.3078,0.0
EVT_000018,USR_1624,VID_0571,2025-05-27 16:48:04,16,0.64,0,0,0,0.2138,0.0
EVT_000019,USR_1949,VID_0252,2025-02-14 13:00:09,99,0.6037,0,1,0,0.9955,0.0
EVT_000020,USR_1497,VID_0242,2026-06-05 13:12:18,105,0.3535,0,0,0,1.3031,0.0
EVT_000021,USR_0177,VID_0447,2026-03-18 23:11:22,113,0.6313,0,1,0,1.2387,0.0
EVT_000022,USR_1994,VID_0172,2025-06-03 18:48:24,72,0.3711,0,1,0,1.1549,0.0
EVT_000023,USR_0465,VID_0219,2026-05-15 14:59:09,41,0.2303,0,1,0,0.0,0.0
EVT_000024,USR_1264,VID_0504,2026-06-18 14:35:06,133,0.5911,0,0,0,0.0,0.0
EVT_000025,USR_0242,VID_0013,2026-07-28 07:07:39,73,0.8022,0,1,1,0.7938,0.0
EVT_000026,USR_1092,VID_0023,2026-03-22 20:24:17,3,0.0366,0,0,0,0.0312,0.0
EVT_000027,USR_1075,VID_0520,2026-06-08 17:14:20,33,0.5323,0,0,0,0.4142,0.0
EVT_000028,USR_0199,VID_0169,2025-08-28 02:46:44,71,0.2375,0,0,0,0.8407,0.0
EVT_000029,USR_1000,VID_0469,2025-10-17 19:09:48,12,0.5455,0,0,0,0.1447,0.0
EVT_000030,USR_1510,VID_0415,2026-05-03 23:33:15,113,0.3831,0,0,0,1.2503,0.0
EVT_000031,USR_0411,VID_0120,2026-03-27 17:26:04,188,0.6836,0,0,0,0.0,0.0
EVT_000032,USR_0211,VID_0114,2026-04-08 21:08:14,70,0.7216,0,1,0,0.9656,0.0
EVT_000033,USR_0351,VID_0591,2026-06-08 18:43:46,29,0.2843,0,0,0,0.3771,0.0
